City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,banff,51.1762,-115.5698,6.57,36,100,4.12,CA,1713742471
318,bovolone,45.2548,11.1263,9.58,73,100,6.15,IT,1713742496
319,happy valley-goose bay,53.3168,-60.3315,5.17,81,100,1.54,CA,1713742458
320,kaa-khem,51.6833,94.7333,1.89,45,100,2.3,RU,1713742497
321,thunder bay,48.4001,-89.3168,10.99,16,40,7.72,CA,1713742288
322,masinloc,15.5333,120.05,27.22,47,7,0.67,PH,1713742497
323,trairi,-3.2778,-39.2689,25.15,92,85,2.97,BR,1713742320
324,placido de castro,-10.3353,-67.1856,26.36,84,93,1.4,BR,1713742498
325,kuanda,56.3161,116.0806,2.59,89,86,1.29,RU,1713742498
326,ixtapa,20.7,-105.2,26.57,57,0,4.12,MX,1713742498
327,keta,5.9179,0.9879,25.12,82,72,4.89,GH,1713742498
328,mildura,-34.2,142.15,17.82,68,0,1.49,AU,1713742499
329,angaur state,6.906,134.13,28.38,83,100,9.25,PW,1713742499
330,fort mcmurray,56.7268,-111.381,18.77,16,0,2.57,CA,1713742499
331,skikda,36.8762,6.9092,12.2,76,96,2.24,DZ,1713742499
332,kayyerkan,69.3786,87.7439,-19.28,99,92,1.12,RU,1713742500
333,dunedin,-45.8742,170.5036,10.45,81,44,5.36,NZ,1713742438
334,itamaraca,-7.7478,-34.8256,29.03,87,66,2.83,BR,1713742500
335,kostyantynivka,48.5277,37.7069,8.76,71,5,7.34,UA,1713742500
336,hulan ergi,47.2042,123.6333,17.2,44,60,7.6,CN,1713742503
337,vilyuchinsk,52.9306,158.4028,7.15,85,61,0.86,RU,1713742507
338,paramonga,-10.6667,-77.8333,20.99,85,35,3.0,PE,1713742507
339,poddebice,51.8934,18.9573,2.63,89,82,3.23,PL,1713742507
340,christchurch,-43.5333,172.6333,16.06,72,75,6.17,NZ,1713742508
341,fisterra,42.9049,-9.2629,13.75,53,6,8.11,ES,1713742456
342,veraval,20.9,70.3667,25.04,68,58,5.18,IN,1713742512
343,jaisalmer,26.9147,70.9181,26.68,37,53,3.32,IN,1713742512
344,kajaani,64.2273,27.7285,-6.97,79,53,2.57,FI,1713742513
345,letterkenny,54.95,-7.7333,5.37,85,51,1.07,IE,1713742515
346,hays,30.0502,-98.0336,19.66,58,65,6.61,US,1713742516
347,rouissat,31.9243,5.3502,18.04,55,14,10.29,DZ,1713742516
348,mar del plata,-38.0023,-57.5575,15.61,59,0,5.66,AR,1713742031
349,nikol'sk,53.7189,46.0712,15.63,78,88,4.63,RU,1713742518
350,arvayheer,46.2639,102.775,-3.14,53,94,7.02,MN,1713742518
351,shajiang,26.7825,119.9669,19.17,96,100,1.05,CN,1713742518
352,praia da vitoria,38.7333,-27.0667,17.14,82,75,0.73,PT,1713742521
353,bel ombre,-4.6167,55.4167,26.91,89,75,6.17,SC,1713742521
354,kikwit,-5.041,18.8162,23.99,84,72,1.1,CD,1713742521
355,buka,40.8108,69.1986,18.49,59,78,2.32,UZ,1713742521
356,mejit,10.2753,170.8646,27.52,79,86,7.66,MH,1713742523
357,saint-felicien,48.6501,-72.4491,-0.62,74,75,5.66,CA,1713742523
358,cabo san lucas,22.8909,-109.9124,31.45,54,0,6.1,MX,1713742303
359,severobaykal'sk,55.65,109.3167,-0.27,83,99,1.22,RU,1713742525
360,kuusamo,65.9667,29.1833,-6.98,86,100,2.57,FI,1713742526
